date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:01	1977/1977	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202019%2006:03:27%20GMT	http://demo4.sxzywl.net/robots.txt		(from )
14:06:01	47427/47427	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:03:27%20GMT	http://demo4.sxzywl.net/	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/index.html	(from )
14:06:02	39952/39952	---M--	200	added ('OK')	text/css	etag:%229c10-5846cb6985038%22	http://demo4.sxzywl.net/themes/haixin/public/assets/css/index.css	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/css/index.css	(from http://demo4.sxzywl.net/)
14:06:05	124409/124409	---M--	200	added ('OK')	text/css	etag:%221e5f9-5846cb697bfb0%22	http://demo4.sxzywl.net/themes/haixin/public/assets/css/bootstrap.min.css	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/css/bootstrap.min.css	(from http://demo4.sxzywl.net/)
14:06:06	17759/17759	---M--	200	added ('OK')	text/css	etag:%22455f-5846cb6992af8%22	http://demo4.sxzywl.net/themes/haixin/public/assets/css/swiper-3.4.2.min.css	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/css/swiper-3.4.2.min.css	(from http://demo4.sxzywl.net/)
14:06:06	2790/2790	---M--	200	added ('OK')	text/css	etag:%22ae6-5846cb6980600%22	http://demo4.sxzywl.net/themes/haixin/public/assets/css/head.css	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/css/head.css	(from http://demo4.sxzywl.net/)
14:06:07	72789/72789	---M--	200	added ('OK')	text/css	etag:%2211c55-5846cb696a670%22	http://demo4.sxzywl.net/themes/haixin/public/assets/css/animate.min.css	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/css/animate.min.css	(from http://demo4.sxzywl.net/)
14:06:08	1077/1077	---M--	200	added ('OK')	application/javascript	etag:%22435-5846cb6c49c10%22	http://demo4.sxzywl.net/themes/haixin/public/assets/js/head.js	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/js/head.js	(from http://demo4.sxzywl.net/)
14:06:08	11920/11920	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:03:34%20GMT	http://demo4.sxzywl.net/portal/list/about/id/25.html?tid=3	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/about/id/258ab9.html	(from http://demo4.sxzywl.net/)
14:06:08	11920/11920	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:03:34%20GMT	http://demo4.sxzywl.net/portal/list/about/id/38.html?tid=3&cid=25	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/about/id/386d34.html	(from http://demo4.sxzywl.net/)
14:06:08	12505/12505	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:03:34%20GMT	http://demo4.sxzywl.net/portal/list/video/id/24.html?tid=3&cid=24	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/video/id/24dbe7.html	(from http://demo4.sxzywl.net/)
14:06:09	15700/15700	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:03:34%20GMT	http://demo4.sxzywl.net/portal/list/succ/id/23.html?tid=3&cid=23	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/succ/id/23b769.html	(from http://demo4.sxzywl.net/)
14:06:09	47427/47427	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:03:35%20GMT	http://demo4.sxzywl.net/?tid=1	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/index2a9b.html	(from http://demo4.sxzywl.net/)
14:06:09	13867/13867	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202019%2006:03:35%20GMT	http://demo4.sxzywl.net/portal/list/course/id/26.html?tid=3&cid=26	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/course/id/26cd6a.html	(from http://demo4.sxzywl.net/)
